category_id,product_id
553,27
553,28
553,29
553,30
553,31
553,32
553,33
553,34
553,35
553,36
553,37
553,38
553,39
553,40
553,41
553,42
553,43
553,44
553,45
553,46
553,47
553,48
553,49
553,50
553,51
553,52
553,53
553,54
553,55
553,56
553,57
553,58
553,59
553,60
553,61
553,62
553,63
553,64
553,65
553,66
553,67
553,68
553,69
553,70
553,71
553,72
553,73
553,74
553,75
553,76
553,77
553,78
553,79
553,80
553,81
553,82
553,83
553,84
553,85
553,86
635,87
635,88
635,89
635,90
635,91
635,94
635,95
635,96
553,105
553,106
553,107
553,110
553,117
553,118
553,119
635,121
553,122
553,123
553,124
553,125
553,126
553,127
553,128
553,129
553,130
553,131
553,132
553,133
553,134
553,135
553,136
553,137
553,138
553,139
553,140
553,141
553,142
635,158
635,159
635,160
635,161
635,162
635,163
553,187
553,189
553,191
553,192
553,193
553,194
553,195
553,197
553,198
553,201
553,202
553,203
553,204
553,205
553,206
553,209
553,211
553,212
553,213
553,214
553,215
553,216
590,286
590,287
590,288
590,289
590,290
590,291
590,292
590,293
590,294
590,295
635,301
590,301
635,311
553,339
635,428
590,450
553,467
553,468
553,527
553,528
553,529
553,563
590,583
590,586
590,603
553,614
553,615
590,620
590,621
590,624
590,629
635,636
590,636
553,638
553,639
635,659
590,659
590,672
590,677
590,683
635,685
590,699
635,702
590,711
590,717
590,718
590,741
590,742
590,743
590,744
590,745
590,752
590,753
590,754
590,755
590,756
590,770
590,776
590,790
590,804
590,808
590,819
635,862
590,872
553,879
590,891
590,892
590,893
590,916
553,925
553,985
635,988
590,1012
590,1013
590,1014
590,1015
590,1016
590,1017
590,1018
590,1019
590,1020
590,1021
590,1022
590,1023
590,1024
590,1025
590,1026
590,1027
590,1028
590,1032
590,1033
590,1034
635,1064
635,1065
590,1070
590,1071
590,1072
590,1073
590,1118
590,1119
590,1120
553,1123
635,1142
590,1176
590,1177
553,1183
635,1189
635,1190
553,1195
553,1209
553,1216
553,1217
553,1218
553,1220
635,1224
590,1224
553,1226
553,1227
553,1228
553,1229
553,1230
553,1247
553,1248
553,1249
553,1250
553,1251
553,1252
553,1253
635,1258
553,1267
553,1269
553,1270
553,1271
553,1272
553,1273
553,1274
553,1275
553,1276
553,1277
553,1278
553,1279
635,1298
553,1299
590,1300
590,1301
590,1304
590,1305
635,1311
635,1312
635,1313
553,1314
553,1315
553,1316
553,1320
553,1321
553,1327
553,1328
553,1329
